frame_idx,time_sec,active_side,left_elbow_angle,left_rep_count,left_good_form,left_rom_ok,left_torso_stable,left_elbow_near_torso,left_wrist_ok,left_messages,right_elbow_angle,right_rep_count,right_good_form,right_rom_ok,right_torso_stable,right_elbow_near_torso,right_wrist_ok,right_messages
100,3.3333333333333335,right,135.93652602493333,0,False,False,True,True,True,Increase curl depth for better range of motion.,125.95719413889054,0,False,False,True,True,True,Increase curl depth for better range of motion.
101,3.3666666666666667,right,126.77556901805399,0,False,False,True,True,True,Increase curl depth for better range of motion.,121.28416098398543,0,False,False,True,True,True,Increase curl depth for better range of motion.
102,3.4,left,115.43974911887527,0,False,False,True,True,True,Increase curl depth for better range of motion.,117.5993198767724,0,False,False,True,True,True,Increase curl depth for better range of motion.
103,3.433333333333333,left,101.96088572293438,0,False,False,True,True,True,Increase curl depth for better range of motion.,112.63724452409355,0,False,False,True,True,True,Increase curl depth for better range of motion.
104,3.466666666666667,left,87.99183514306812,0,False,False,True,True,True,Increase curl depth for better range of motion.,106.67480088875169,0,False,False,True,True,True,Increase curl depth for better range of motion.
105,3.5,left,74.14680521358706,0,False,False,True,True,True,Increase curl depth for better range of motion.,100.84982374987968,0,False,False,True,True,True,Increase curl depth for better range of motion.
106,3.533333333333333,left,60.4267955104959,0,True,True,True,True,True,Good curl mechanics in this frame.,94.78452143595229,0,False,False,True,True,True,Increase curl depth for better range of motion.
107,3.566666666666667,left,48.07675818930998,0,True,True,True,True,True,Good curl mechanics in this frame.,88.38254462742115,0,False,False,True,True,True,Increase curl depth for better range of motion.
108,3.6,left,38.4391504745324,0,True,True,True,True,True,Good curl mechanics in this frame.,82.90495960930454,0,False,False,True,True,True,Increase curl depth for better range of motion.
109,3.6333333333333333,left,29.218587888499467,0,True,True,True,True,True,Good curl mechanics in this frame.,77.85346842133805,0,False,False,True,True,True,Increase curl depth for better range of motion.
110,3.6666666666666665,left,20.71878619591051,0,True,True,True,True,True,Good curl mechanics in this frame.,72.5665921666104,0,False,False,True,True,True,Increase curl depth for better range of motion.
111,3.7,left,14.320307595639612,0,True,True,True,True,True,Good curl mechanics in this frame.,66.58953846940125,0,True,True,True,True,True,Good curl mechanics in this frame.
112,3.7333333333333334,left,10.950697787026527,0,True,True,True,True,True,Good curl mechanics in this frame.,61.771647500636014,0,True,True,True,True,True,Good curl mechanics in this frame.
113,3.7666666666666666,left,8.461893987056095,0,True,True,True,True,True,Good curl mechanics in this frame.,57.87299791320393,0,True,True,True,True,True,Good curl mechanics in this frame.
114,3.8,left,6.426758239535573,0,True,True,True,True,True,Good curl mechanics in this frame.,53.971799180053125,0,True,True,True,True,True,Good curl mechanics in this frame.
115,3.8333333333333335,left,4.792586117529442,0,True,True,True,True,True,Good curl mechanics in this frame.,50.53148141866656,0,True,True,True,True,True,Good curl mechanics in this frame.
116,3.8666666666666667,left,3.696929562836579,0,True,True,True,True,True,Good curl mechanics in this frame.,47.55573394393829,0,True,True,True,True,True,Good curl mechanics in this frame.
117,3.9,left,3.004992476706267,0,True,True,True,True,True,Good curl mechanics in this frame.,44.783096527498074,0,True,True,True,True,True,Good curl mechanics in this frame.
118,3.933333333333333,left,2.6283289681521262,0,True,True,True,True,True,Good curl mechanics in this frame.,42.22208801110336,0,True,True,True,True,True,Good curl mechanics in this frame.
119,3.966666666666667,left,3.022568131739609,0,True,True,True,True,True,Good curl mechanics in this frame.,39.87452283468594,0,True,True,True,True,True,Good curl mechanics in this frame.
120,4.0,left,3.90488704960009,0,True,True,True,True,True,Good curl mechanics in this frame.,37.77491145859963,0,True,True,True,True,True,Good curl mechanics in this frame.
121,4.033333333333333,left,4.608600496214368,0,True,True,True,True,True,Good curl mechanics in this frame.,35.89575239524581,0,True,True,True,True,True,Good curl mechanics in this frame.
122,4.066666666666666,left,5.302504348740431,0,True,True,True,True,True,Good curl mechanics in this frame.,34.31933295860857,0,True,True,True,True,True,Good curl mechanics in this frame.
123,4.1,left,6.244586526858744,0,True,True,True,True,True,Good curl mechanics in this frame.,32.93297508799578,0,True,True,True,True,True,Good curl mechanics in this frame.
124,4.133333333333334,left,7.56523909622889,0,True,True,True,True,True,Good curl mechanics in this frame.,31.863241448196415,0,True,True,True,True,True,Good curl mechanics in this frame.
125,4.166666666666667,left,8.679665159313167,0,True,True,True,True,True,Good curl mechanics in this frame.,30.989621121787586,0,True,True,True,True,True,Good curl mechanics in this frame.
126,4.2,left,9.650579603354565,0,True,True,True,True,True,Good curl mechanics in this frame.,30.192191579756688,0,True,True,True,True,True,Good curl mechanics in this frame.
127,4.233333333333333,left,10.468964608988195,0,True,True,True,True,True,Good curl mechanics in this frame.,29.540881089225543,0,True,True,True,True,True,Good curl mechanics in this frame.
128,4.266666666666667,left,10.904830338060279,0,True,True,True,True,True,Good curl mechanics in this frame.,29.207622323070918,0,True,True,True,True,True,Good curl mechanics in this frame.
129,4.3,left,11.188836646640333,0,True,True,True,True,True,Good curl mechanics in this frame.,29.085104624869505,0,True,True,True,True,True,Good curl mechanics in this frame.
130,4.333333333333333,left,11.453645450298739,0,True,True,True,True,True,Good curl mechanics in this frame.,29.18952178728057,0,True,True,True,True,True,Good curl mechanics in this frame.
131,4.366666666666666,left,11.788095136975176,0,True,True,True,True,True,Good curl mechanics in this frame.,29.593682099527353,0,True,True,True,True,True,Good curl mechanics in this frame.
132,4.4,left,11.847901157584905,0,True,True,True,True,True,Good curl mechanics in this frame.,30.155672605842653,0,True,True,True,True,True,Good curl mechanics in this frame.
133,4.433333333333334,left,11.666770674194813,0,True,True,True,True,True,Good curl mechanics in this frame.,30.98572677517721,0,True,True,True,True,True,Good curl mechanics in this frame.
134,4.466666666666667,left,11.380739136760935,0,True,True,True,True,True,Good curl mechanics in this frame.,32.14323140004812,0,True,True,True,True,True,Good curl mechanics in this frame.
135,4.5,left,11.069813255638744,0,True,True,True,True,True,Good curl mechanics in this frame.,33.51311970873009,0,True,True,True,True,True,Good curl mechanics in this frame.
136,4.533333333333333,left,10.463051556258558,0,True,True,True,True,True,Good curl mechanics in this frame.,35.09137215493406,0,True,True,True,True,True,Good curl mechanics in this frame.
137,4.566666666666666,left,9.65535696759238,0,True,True,True,True,True,Good curl mechanics in this frame.,36.719242598462266,0,True,True,True,True,True,Good curl mechanics in this frame.
138,4.6,left,8.75386164527196,0,True,True,True,True,True,Good curl mechanics in this frame.,38.460135932271115,0,True,True,True,True,True,Good curl mechanics in this frame.
